"#";"country";"family";"name";"shape";"h";"t_web";"b_upper";"t_upper";"b_lower";"t_lower";"r";"ex";"ey";"ez";"zs";"A";"A_y";"A_z";"Iy";"Wy_u";"Wy_l";"Wply";"i_y";"Iz";"Wz";"Wplz";"i_z";"It";"Wt";"Cw";"alpha_y";"alpha_z";"alpha_lt";"Product"
"#";"-";"-";"-";"-";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"cm";"cm";"cm";"cm";"cm2";"cm2";"cm2";"cm4";"cm3";"cm3";"cm3";"cm";"cm4";"cm3";"cm3";"cm";"cm4";"cm3";"cm6";"-";"-";"-";"-"
;"Japan";"H(const)";"H-500x250x9x22x13";"H";500;9;250;22;250;22;13;0;0;0;25;152.4907084;91.66666667;41.82559035;70724.01334;-2828.960533;2828.960533;3129.510894;21.53583711;5732.818347;-458.6254678;697.8080769;6.131438822;193.81758090000002;66.06257788;3272557.292;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x250x12x22x13";"H";500;12;250;22;250;22;13;0;0;0;25;166.1707084;91.66666667;53.77559035000001;73094.48374;-2923.779349;2923.779349;3285.462894;20.97321775;5736.969411;-458.9575529;705.2076832;5.875759771;211.84227360000003;70.66387205;3272557.292;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x250x12x25x13";"H";500;12;250;25;250;25;13;0;0;0;25;180.4507084;104.1666667;54.12559035;80401.08976;-3216.043591;3216.043591;3608.469681;21.10822292;6518.133011;-521.4506409;798.7416832;6.010108517;292.9995834;88.28249366;3672281.901;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x250x12x28x13";"H";500;12;250;28;250;28;13;0;0;0;25;194.73070840000003;116.66666669999998;54.47559035;87515.17692;-3500.607077;3500.607077;3927.192469;21.19944375;7299.296611000001;-583.9437289;892.2756832;6.122422326;394.6373175;108.4202238;4061166.667;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x300x12x16x13";"H";500;12;300;16;300;16;13;0;0;0;25;153.6107084;80;53.07559035;67267.0868;-2690.683472;2690.683472;3013.797319;20.92620926;7207.975544;-480.531703;738.1396832;6.850084144;116.25063859999999;49.34475184;4216608;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x300x12x19x13";"H";500;12;300;19;300;19;13;0;0;0;25;170.8907084;95;53.42559035;76588.15177;-3063.526071;3063.526071;3415.122106;21.17003468;8557.889144;-570.525943;872.9236832;7.076591121;171.9700782;64.24257178;4945341.375;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x300x12x22x13";"H";500;12;300;22;300;22;13;0;0;0;25;188.1707084;110;53.77559035000001;85669.97707;-3426.799083;3426.799083;3811.262894;21.3372436;9907.802744;-660.520183;1007.707683;7.256257164;247.33560699999998;82.50332375;5654979;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x300x12x25x13";"H";500;12;300;25;300;25;13;0;0;0;25;205.45070840000002;125;54.12559035;94515.6731;-3780.626924;3780.626924;4202.219681;21.44855773;11257.71634;-750.514423;1142.491683;7.402379207999999;345.0829167;103.9755076;6345703.125;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x300x16x22x13";"H";500;16;300;22;300;22;13;0;0;0;25;206.4107084;110;69.70892368;88830.60427;-3553.224171;3553.224171;4019.198894;20.74508392;9917.375846;-661.1583897;1020.7658249999998;6.931580543;288.2184393;93.911587;5654979;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x300x16x25x13";"H";500;16;300;25;300;25;13;0;0;0;25;223.4507084;125;69.95892368;97553.1731;-3902.126924;3902.126924;4404.719681;20.89439652;11267.17105;-751.1447364;1155.381825;7.1009519800000005;386.4597265;113.9985662;6345703.125;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x300x16x28x13";"H";500;16;300;28;300;28;13;0;0;0;25;240.4907084;140;70.20892368;106045.9631;-4241.838522;4241.838522;4785.128469;20.99896644;12616.966249999998;-841.1310831;1289.997825;7.243164019000001;509.74055269999997;137.357862;7017696;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-550x200x9x12x13";"H";550;9;200;12;200;12;13;0;0;0;27.5;96.79070842;40;44.15892368;46635.3991;-1695.832695;1695.832695;1951.453373;21.95032802;1604.07693;-160.407693;251.72557690000002;4.070949942;40.03039238;21.47728047;1157776;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x200x9x16x13";"H";550;9;200;16;200;16;13;0;0;0;27.5;112.07070840000002;53.33333333000001;44.725590350000004;57014.53785;-2073.255922;2073.255922;2349.68109;22.55520328;2137.361664;-213.7361664;331.5635769;4.367098114;72.610438;31.682043900000004;1520832;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x200x9x19x13";"H";550;9;200;19;200;19;13;0;0;0;27.5;123.53070840000001;63.33333333;45.15059035;64591.15936;-2348.769431;2348.769431;2644.340877;22.86646727;2537.325214;-253.73252140000002;391.4420769;4.532111663;109.66764729999998;41.97245126;1785753;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x200x9x22x13";"H";550;9;200;22;200;22;13;0;0;0;27.5;134.9907084;73.33333333;45.57559035;71992.0164;-2617.891505;2617.891505;2935.562665;23.0935251;2937.288764;-293.7288764;451.3205769;4.664674925;159.5392475;54.37883353;2044416;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x200x12x19x13";"H";550;12;200;19;200;19;13;0;0;0;27.5;138.8907084;63.33333333;58.42559035;67946.60256;-2470.785548;2470.785548;2840.948877;22.11807246;2541.942478;-254.1942478;399.7236832;4.278054006;129.1234115;48.23641485;1785753;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x200x12x22x13";"H";550;12;200;22;200;22;13;0;0;0;27.5;150.1707084;73.33333333;58.77559035;75230.8718;-2735.668065;2735.668065;3127.589665;22.38233711;2941.856078;-294.1856078;459.5076832;4.426068147;179.2289403;59.78509713;2044416;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x200x12x25x13";"H";550;12;200;25;200;25;13;0;0;0;27.5;161.4507084;83.33333333;59.12559035;82344.17176;-2994.333519;2994.333519;3410.846452;22.58377069;3341.7696779999997;-334.1769678;519.2916832;4.549548295;243.79625000000001;73.45724063;2296875;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x250x9x16x13";"H";550;9;250;16;250;16;13;0;0;0;27.5;128.0707084;66.66666667;44.725590350000004;68424.19119;-2488.152407;2488.152407;2776.88109;23.11425661;4170.694997;-333.6555998;511.56357689999993;5.706624671;86.26377133;37.63938995;2970375;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x250x9x19x13";"H";550;9;250;19;250;19;13;0;0;0;27.5;142.5307084;79.16666667;45.15059035;77990.0227;-2836.000825;2836.000825;3148.790877;23.39188938;4951.908547;-396.1526838;605.1920769;5.89429796;132.5309807;50.72279986;3487798.828;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x250x9x22x13";"H";550;9;250;22;250;22;13;0;0;0;27.5;156.9907084;91.66666667;45.57559035;87334.00973;-3175.782172;3175.782172;3516.362665;23.58602342;5733.122097;-458.6497678;698.8205769;6.043083858;195.0325809;66.47670972;3993000;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x250x12x22x13";"H";550;12;250;22;250;22;13;0;0;0;27.5;172.1707084;91.66666667;58.77559035;90572.86513;-3293.558732;3293.558732;3708.389665;22.93609189;5737.689411;-459.0151529;707.0076832;5.772831544;214.7222736;71.62454883;3993000;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x250x12x25x13";"H";550;12;250;25;250;25;13;0;0;0;27.5;186.4507084;104.1666667;59.12559035;99583.7551;-3621.227458;3621.227458;4067.096452;23.11065372;6518.853011;-521.5082409;800.5416832;5.912941406;295.8795834;89.15025456;4486083.984;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x250x12x28x13";"H";550;12;250;28;250;28;13;0;0;0;27.5;200.7307084;116.66666669999998;59.47559035;108380.7062;-3941.1165890000007;3941.1165890000007;4421.51924;23.23641261;7300.016611000001;-584.0013289;894.0756832;6.030523519;397.51731750000005;109.2114573;4967156.25;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-550x300x12x16x13";"H";550;12;300;16;300;16;13;0;0;0;27.5;159.6107084;80;58.07559034999999;83308.64032;-3029.405103;3029.405103;3405.32409;22.84620191;7208.695544;-480.579703;739.9396832;6.720434138;119.1306386;50.56722156;5132808;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-550x300x12x19x13";"H";550;12;300;19;300;19;13;0;0;0;27.5;176.8907084;95;58.42559035;94744.32923;-3445.248336;3445.248336;3849.848877;23.14323696;8558.609144;-570.573943;874.7236832;6.95583203;174.8500782;65.31844852;6026916.375;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-550x300x12x22x13";"H";550;12;300;22;300;22;13;0;0;0;27.5;194.1707084;110;58.77559035;105914.8585;-3851.449399;3851.449399;4289.189665;23.35536116;9908.522744;-660.568183;1009.5076830000002;7.143525474;250.215607;83.46400052;6899904;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-550x300x12x25x13";"H";550;12;300;25;300;25;13;0;0;0;27.5;211.4507084;125;59.12559035;116823.33840000001;-4248.121397;4248.121397;4723.346452;23.50499884;11258.43634;-750.562423;1144.291683;7.296833996;347.9629167;104.8432685;7751953.124999999;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-550x300x16x22x13";"H";550;16;300;22;300;22;13;0;0;0;27.5;214.41070840000003;110;76.37559035;110233.33230000001;-4008.484812;4008.484812;4545.225665;22.67426574;9919.082513;-661.2721675;1023.965825;6.801622364;295.045106;96.13595232;6899904;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-550x300x16x25x13";"H";550;16;300;25;300;25;13;0;0;0;27.5;231.4507084;125;76.62559035;120990.00509999998;-4399.636549;4399.636549;4973.346452;22.86364616;11268.87771;-751.2585142;1158.581825;6.977680437;393.2863931;116.0123083;7751953.124999999;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-550x300x16x28x13";"H";550;16;300;28;300;28;13;0;0;0;27.5;248.4907084;140;76.87559035;131491.339;-4781.503236;4781.503236;5396.35524;23.00347762;12618.67291;-841.2448608;1293.197825;7.126097571999999;516.5672194;139.197418;8583246;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-600x200x9x12x13";"H";600;9;200;12;200;12;13;0;0;0;30;101.2907084;40;47.90892368;57006.9829;-1900.232763;1900.232763;2199.055144;23.72352522;1604.38068;-160.438068;252.7380769;3.979870194;41.24539238;22.12915756;1382976;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x200x9x16x13";"H";600;9;200;16;200;16;13;0;0;0;30;116.5707084;53.33333333000001;48.47559035;69472.76023;-2315.758674;2315.758674;2635.482861;24.41251703;2137.665414;-213.7665414;332.5760769;4.282280857;73.825438;32.2121837;1818965.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x200x9x19x13";"H";600;9;200;19;200;19;13;0;0;0;30;128.0307084;63.33333333;48.90059035;78594.30568;-2619.810189;2619.810189;2958.792648;24.77641499;2537.628964;-253.76289639999996;392.4545769;4.452018774;110.8826473;42.43746104;2137886.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x200x9x22x13";"H";600;9;200;22;200;22;13;0;0;0;30;139.4907084;73.33333333;49.32559035;87522.89665;-2917.429888;2917.429888;3278.664436;25.048873609999998;2937.592514;-293.7592514;452.3330769;4.589053665;160.7542475;54.79296537;2449949.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x200x12x19x13";"H";600;12;200;19;200;19;13;0;0;0;30;144.8907084;63.33333333;63.42559035;83031.91388;-2767.730463;2767.730463;3195.675648;23.93879338;2542.662478;-254.2662478;401.5236832;4.189132424;132.0034115;49.31229159;2137886.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x200x12x22x13";"H";600;12;200;22;200;22;13;0;0;0;30;156.1707084;73.33333333;63.77559035;91819.88705;-3060.662902;3060.662902;3510.516436;24.24759039;2942.576078;-294.2576078;461.3076832;4.340742863;182.1089403;60.7457739;2449949.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x200x12x25x13";"H";600;12;200;25;200;25;13;0;0;0;30;167.4507084;83.33333333;64.12559035;100419.971;-3347.332365;3347.332365;3821.973223;24.48874625;3342.489678;-334.2489678;521.0916832;4.467777563;246.67625;74.32500152;2755208.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x200x12x28x13";"H";600;12;200;28;200;28;13;0;0;0;30;178.7307084;93.33333333;64.47559035;108834.19599999998;-3627.806533;3627.806533;4130.046011;24.67647368;3742.403278;-374.2403278;580.8756832;4.57589135;327.2239842;89.89950019;3053717.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x250x9x16x13";"H";600;9;250;16;250;16;13;0;0;0;30;132.5707084;66.66666667;48.47559035;83118.41356;-2770.613785;2770.613785;3102.682861;25.03945283;4170.998747;-333.6798998;512.5760769;5.609139501;87.47877133;38.16952975;3552666.667;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x250x9x19x13";"H";600;9;250;19;250;19;13;0;0;0;30;147.0307084;79.16666667;48.90059035;94634.16901;-3154.4723;3154.4723;3510.742648;25.36997046;4952.212297;-396.1769838;606.2045769;5.803575014;133.7459807;51.18780964;4175559.2449999996;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x250x12x19x13";"H";600;12;250;19;250;19;13;0;0;0;30;163.89070839999997;79.16666667;63.42559035;99071.77720999999;-3302.392574;3302.392574;3747.625648;24.58656235;4957.245811;-396.5796649;615.2736832;5.499751426;154.8667449;57.85330842;4175559.2449999996;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x250x12x22x13";"H";600;12;250;22;250;22;13;0;0;0;30;178.1707084;91.66666667;63.77559035;110203.3804;-3673.446013;3673.446013;4146.316436;24.87020155;5738.409411;-459.0727529;708.8076832;5.675153486;217.6022736;72.5852256;4785057.292;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x250x12x25x13";"H";600;12;250;25;250;25;13;0;0;0;30;192.4507084;104.1666667;64.12559035;121097.0543;-4036.568476;4036.568476;4540.723223;25.08459147;6519.573011;-521.5658409;802.3416832;5.820359627;298.7595834;90.01801546;5381266.276;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-600x250x12x28x13";"H";600;12;250;28;250;28;13;0;0;0;30;206.7307084;116.66666669999998;64.47559035;131755.3693;-4391.845644;4391.845644;4930.846011;25.24536563;7300.736611000001;-584.0589289;895.8756832;5.942659458;400.3973175;110.0026907;5964291.667;0.21;0.34;0.49;2
